 Site ID , X [m] , Y [m] , El [m] ,Rx,DR,Ht,U,U(w),p,Grs,Net,Wk
T1,402919.3,3403293,0,0,0,110,7.74,7.35,1.184,26.986,24.549,9.03
T2,403435.2,3403287,0,0,0,110,7.74,7.33,1.184,26.989,24.4,9.59
T3,403961.2,3403280,0,0,0,110,7.74,7.32,1.184,26.986,24.348,9.78
T4,404507.6,3403273,0,0,0,110,7.74,7.34,1.184,26.983,24.454,9.37
T5,405053.9,3403266,0,0,0,110,7.74,7.34,1.184,26.982,24.448,9.39
T6,405579.9,3403260,0,0,0,110,7.74,7.38,1.184,26.978,24.715,8.39
T7,406095.9,3403253,0,0,0,110,7.74,7.42,1.184,26.968,24.943,7.51
T8,406609.8,3403207,0,0,0,110,7.74,7.55,1.184,26.974,25.73,4.61
T9,402947.2,3402179,0,0,0,110,7.74,7.33,1.184,26.985,24.229,10.21
T10,404055,3402125,0,0,0,110,7.74,7.25,1.184,26.981,23.71,12.12
T11,405163.1,3402111,0,0,0,110,7.74,7.3,1.184,26.98,24.025,10.95
T12,402875,3399626,0,0,0,110,7.74,7.3,1.184,26.975,24.259,10.07
T13,403390.4,3399599,0,0,0,110,7.74,7.22,1.184,26.972,23.724,12.04
T14,403925.7,3399571,0,0,0,110,7.74,7.19,1.184,26.974,23.476,12.97
T15,404485,3399541,0,0,0,110,7.74,7.18,1.184,26.97,23.415,13.18
T16,405074.2,3399510,0,0,0,110,7.74,7.19,1.184,26.971,23.454,13.04
T17,405708.9,3399477,0,0,0,110,7.74,7.21,1.184,26.966,23.58,12.56
T18,406297.6,3399446,0,0,0,110,7.74,7.21,1.184,26.964,23.597,12.49
T19,406856.9,3399417,0,0,0,110,7.74,7.23,1.184,26.961,23.721,12.02
T20,407392.2,3399389,0,0,0,110,7.74,7.22,1.184,26.952,23.645,12.27
T21,407907.6,3399361,0,0,0,110,7.74,7.22,1.184,26.95,23.664,12.19
T22,408396.9,3399197,0,0,0,110,7.74,7.25,1.184,26.948,23.809,11.65
T23,408883.5,3399013,0,0,0,110,7.74,7.27,1.184,26.944,23.941,11.14
T24,409375.2,3398869,0,0,0,110,7.74,7.32,1.184,26.94,24.247,10
T25,409752.1,3398516,0,0,0,110,7.74,7.45,1.184,26.942,25.055,7
T26,403573.4,3397839,0,0,0,110,7.74,7.26,1.184,26.963,23.95,11.17
T27,404089.2,3397820,0,0,0,110,7.74,7.18,1.184,26.962,23.438,13.07
T28,404612.9,3397802,0,0,0,110,7.74,7.13,1.184,26.961,23.048,14.51
T29,405151.6,3397782,0,0,0,110,7.74,7.11,1.184,26.957,22.913,15
T30,405705.3,3397763,0,0,0,110,7.74,7.11,1.184,26.955,22.94,14.89
T31,406274,3397742,0,0,0,110,7.74,7.11,1.184,26.949,22.922,14.94
T32,406857.7,3397722,0,0,0,110,7.74,7.12,1.184,26.948,22.957,14.81
T33,407456.2,3397700,0,0,0,110,7.74,7.13,1.184,26.939,23.028,14.52
T34,408069.8,3397678,0,0,0,110,7.73,7.1,1.184,26.935,22.812,15.31
T35,408620.2,3397518,0,0,0,110,7.74,7.15,1.184,26.936,23.109,14.21
T36,409256.5,3397405,0,0,0,110,7.73,7.22,1.184,26.932,23.548,12.56
T37,409740.8,3397227,0,0,0,110,7.73,7.4,1.184,26.93,24.731,8.17
T38,404883.4,3396046,0,0,0,110,7.74,7.26,1.184,26.945,23.913,11.25
T39,405397.9,3396006,0,0,0,110,7.74,7.23,1.184,26.947,23.693,12.07
T40,405922.8,3396006,0,0,0,110,7.74,7.24,1.184,26.942,23.79,11.7
T41,406477,3396006,0,0,0,110,7.73,7.24,1.184,26.936,23.749,11.83
T42,407052.1,3396006,0,0,0,110,7.73,7.23,1.184,26.935,23.719,11.94
T43,407626.3,3396006,0,0,0,110,7.73,7.23,1.184,26.927,23.672,12.09
T44,408181.4,3396006,0,0,0,110,7.73,7.22,1.184,26.922,23.646,12.17
T45,408698.1,3396006,0,0,0,110,7.73,7.24,1.184,26.92,23.747,11.79
T46,409214.1,3396006,0,0,0,110,7.73,7.3,1.184,26.918,24.064,10.6
T47,409730.1,3396006,0,0,0,110,7.73,7.46,1.184,26.911,25.111,6.69
